iter	Passed	Remaining
0	1	171
1	2	142
2	4	130
3	5	122
4	6	119
5	7	115
6	8	112
7	9	111
8	11	112
9	12	109
10	13	107
11	14	105
12	15	102
13	16	100
14	17	100
15	18	99
16	20	98
17	21	96
18	22	94
19	23	93
20	24	93
21	26	92
22	27	91
23	28	90
24	29	88
25	30	88
26	32	87
27	33	86
28	34	85
29	35	82
30	36	80
31	37	79
32	37	77
33	39	75
34	39	74
35	41	72
36	41	71
37	42	69
38	43	68
39	44	66
40	45	64
41	45	62
42	46	61
43	47	60
44	48	58
45	48	57
46	49	56
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	48
53	55	47
54	56	46
55	57	45
56	58	43
57	58	42
58	59	41
59	60	40
60	60	38
61	61	37
62	62	36
63	62	35
64	63	34
65	63	32
66	64	31
67	65	30
68	65	29
69	66	28
70	67	27
71	68	26
72	68	25
73	69	24
74	70	23
75	70	22
76	71	21
77	71	20
78	72	19
79	73	18
80	73	17
81	74	16
82	75	15
83	75	14
84	76	13
85	76	12
86	77	11
87	77	10
88	78	9
89	79	8
90	79	7
91	80	6
92	81	6
93	81	5
94	82	4
95	82	3
96	83	2
97	84	1
98	84	0
99	85	0
