iter	Passed	Remaining
0	111	111508
1	112	56096
2	113	37633
3	113	28381
4	114	22867
5	115	19175
6	116	16561
7	118	14751
8	120	13228
9	121	11985
10	121	10966
11	124	10252
12	125	9523
13	126	8887
14	127	8398
15	128	7913
16	129	7478
17	129	7089
18	130	6744
19	131	6457
20	135	6294
21	135	6044
22	136	5805
23	137	5587
24	138	5393
25	139	5207
26	139	5036
27	140	4873
28	141	4727
29	141	4585
30	142	4455
31	143	4329
32	143	4211
33	144	4101
34	144	3996
35	145	3901
36	146	3825
37	148	3747
38	149	3673
39	150	3605
40	151	3532
41	151	3458
42	152	3390
43	153	3325
44	153	3260
45	154	3202
46	155	3147
47	155	3092
48	156	3039
49	157	2987
50	157	2937
51	158	2890
52	159	2846
53	159	2800
54	160	2759
55	162	2745
56	163	2708
57	164	2669
58	164	2631
59	165	2597
60	166	2561
61	167	2530
62	167	2497
63	168	2466
64	169	2435
65	169	2403
66	170	2373
67	170	2343
68	171	2315
69	172	2288
70	173	2264
71	173	2241
72	174	2221
73	177	2223
74	179	2211
75	180	2188
76	180	2167
77	188	2225
78	189	2207
79	191	2197
80	195	2221
81	196	2202
82	197	2177
83	197	2158
84	198	2140
85	199	2124
86	200	2107
87	201	2090
88	202	2073
89	203	2057
90	211	2111
91	212	2096
92	213	2077
93	213	2059
94	214	2042
95	215	2031
96	216	2016
97	217	2002
98	218	1987
99	219	1973
100	220	1961
101	221	1947
102	221	1932
103	222	1918
104	225	1922
105	226	1910
106	227	1899
107	231	1908
108	232	1897
109	232	1883
110	233	1870
111	234	1859
112	235	1846
113	235	1832
114	236	1819
115	238	1818
116	239	1805
117	239	1792
118	240	1779
119	241	1768
120	241	1755
121	242	1742
122	242	1731
123	243	1719
124	243	1707
125	244	1696
126	245	1684
127	245	1673
128	246	1663
129	248	1664
130	249	1656
131	250	1646
132	251	1636
133	251	1626
134	254	1631
135	255	1621
136	255	1611
137	256	1601
138	256	1591
139	257	1582
140	258	1573
141	258	1564
142	259	1555
143	260	1548
144	261	1541
145	262	1532
146	262	1524
147	263	1515
148	263	1507
149	264	1499
150	265	1493
151	266	1486
152	269	1492
153	270	1486
154	271	1480
155	272	1474
156	273	1466
157	273	1459
